"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","Boochs","Boochs2","CARI","Carter","Carter2","Carter3","Carter4","Carter5","Carter6","CI","CI2","ClAInt","CRI1","CRI2","CRI3","CRI4","D1","D2","Datt","Datt2","Datt3","Datt4","Datt5","Datt6","DD","DDn","DPI","DWSI4","EGFN","EGFR","EVI","GDVI_2","GDVI_3","GDVI_4","GI","Gitelson","Gitelson2","GMI1","GMI2","GreenNDVI","Maccioni","MCARI","MCARIOSAVI","MCARI2","MCARI2OSAVI2","mND705","mNDVI","MPRI","MSAVI","mSR","mSR2","mSR705","MTCI","MTVI","NDVI","NDVI2","NDVI3","NPCI","OSAVI","OSAVI2","PARS","PRI","PRICI2","PRI_norm","PSND","PSRI","PSSR","RDVI","REP_LE","REP_Li","SAVI","SIPI","SPVI","SR","SR1","SR2","SR3","SR4","SR5","SR6","SR7","SR8","SRPI","Sum_Dr1","Sum_Dr2","TCARI","TCARIOSAVI","TCARI2","TCARI2OSAVI2","TGI","TVI","Vogelmann","Vogelmann2","Vogelmann3","Vogelmann4"
"dryala-tm16_00096","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0226974704866901,0.0232134515177655,0.876322823018175,2.02740554653659,0.217722453892463,0.150014861334912,0.475371166020896,2.51191264933559,0.159008787843222,1.20520577618881,2.38148544033183,12.9159104684528,3.11768409399312,4.54937451793095,4.98189597853955,5.98919603372554,0.717471304308984,1.04071101358705,0.605412733774734,2.22350469358256,0.13364711970634,1.24643652286069,0.380049186846474,15.2296780912653,0.0589813385354961,-0.85776579488792,0.652574593353166,2.37200689769344,0.619270907044483,4.25307899239965,1.93152299592228,0.982576894278173,0.998353674706258,0.99984555014002,2.51192263643827,4.8572701647434,-5.67876230424043,4.27927271872904,3.30509046930466,0.636174364090387,0.587948510229663,0.464568866589076,0.572176915590353,0.79011365737918,1.82201297689082,0.509319098376186,1.0006351270407,-0.465907848484734,0.806497039644897,-3149.97630214351,2.02179106774036,3.07596870671221,1.49082996791585,1.09675190254278,0.828579913264426,0.436993944007697,-0.376570598049931,-0.0416724162910522,0.811932208257213,0.433648754098048,6.66778337029307,0.0316500749512003,0.0753741926816946,-0.0124761318133838,0.829275507015637,-0.0140256431050919,8.27972700865175,0.743534282702846,708.754478548006,716.351678787715,0.770029180714851,0.999682638044812,0.870789424595209,10.6672441257431,3.30509046930466,6.28842579218907,4.27927271872904,3.41188033402516,0.297688627274785,2.05609413487236,0.611972222543504,0.668565763971564,1.08696904273541,0.683462881590204,0.640680565659232,0.340662117225083,0.419569655890735,0.443015014753865,1.02159872608258,8.93281434109422,41.1527494908484,1.38978921999465,-0.0718447985463071,1.04838322839573,-0.0777450162351827
"dryoct-tm31_00184","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.0236876835139231,0.0203226453366745,0.949868198748189,2.32011320741778,0.25230420231945,0.181610946477511,0.530242648864513,2.46663448111041,0.171277015821349,1.22178171431281,1.94088663543713,13.921153108383,3.74284366566726,5.20396503902629,5.61229422376387,6.60557342748748,0.585865358885665,1.23369614119162,0.55930002402908,2.00297403082843,0.125805937713838,1.20874854851552,0.399718490232471,12.6609879675921,0.00577097459088871,-0.779988553232871,0.603494009387394,2.29269278607677,0.623144262099244,4.30707058128088,2.06805839205043,0.977074284177856,0.997505761853556,0.999731111989111,2.44251530239184,4.37737362379255,-5.06236118007888,3.83299400666889,2.87376230914525,0.603996342661926,0.539139743542946,0.492973157591549,0.627215521687435,0.600997919703063,1.57605399779823,0.449026577487593,0.980323263431001,-0.475981093437083,0.775444787881011,100.642871163453,1.69281699590395,2.629939155468,1.20200374186649,1.0600321910644,0.805569590659892,0.384181944674432,-0.365249084687229,0.0223444019190181,0.785970915173263,0.381330792309569,6.55426846333135,-0.0207134904069956,-0.0402025367041931,0.00870485988776894,0.817967051374134,-0.00594395480258493,6.7805296814656,0.715796337633914,704.037138948585,714.957517857731,0.742627466750871,1.01003584088178,0.834304563973306,9.28645676768336,2.87376230914525,5.41044502587456,3.83299400666889,3.32431393714697,0.301512199914322,1.84288359666075,0.553123629636856,0.609361092704961,0.956287916523872,0.660937448576187,0.61116213332397,0.365150332964469,0.464585044961839,0.438891974828535,1.15094816280201,9.65086785492104,39.3692881191302,1.31546721487118,-0.0549144476611867,0.934518171738401,-0.0586374042424555
"dryala-tm2_00008","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0195381435739796,0.021116822576462,0.634545049261066,1.58034339511163,0.198251750597253,0.143723648823908,0.459018200042499,2.23473393916197,0.131155248806513,1.18993750193454,2.66516622144318,10.671935918288,4.04406556143477,5.42096584431041,7.16573710670548,7.97890190761779,0.715024315223506,1.00573071995733,0.610717914121096,2.2390654761235,0.106454315559244,1.61725977425974,0.397732028426014,18.7191844904858,0.0682953781981298,-0.743281420343806,0.628148648007423,2.31712528922156,0.682811528915565,5.30539941493524,1.65977072858512,0.98205631604649,0.998278728026764,0.999836097474291,2.41293066945222,6.24765160581965,-6.0850416922123,4.3908661010669,3.59792969445761,0.638714436849709,0.602834450164664,0.314424754502252,0.402920251495688,0.747025434687269,1.67735052832536,0.55165541842624,1.02862440796834,-0.485334134014514,0.758600867274146,-70.8704407166039,2.19808840828276,3.46085462431526,1.62440834860366,0.905116031585753,0.826237861430981,0.461901006829641,-0.373880229931838,-0.109244959505113,0.780364733058391,0.445360359729393,6.96705379438705,0.0221957406214899,0.0591553381643093,-0.0106931694284474,0.811823842340869,-0.0162092639693477,8.51235393858776,0.674913436751054,710.284365703445,716.79370004455,0.70995497840728,0.986086073912596,0.728969111514102,10.5099872530953,3.59792969445761,6.87397442264455,4.3908661010669,3.07549565936959,0.330175574746957,2.1385976817089,0.761206872788296,0.653423760036825,1.24528619999595,0.563129025179799,0.535621569346656,0.27071123245327,0.346903468320902,0.366794934061552,0.823591336876999,6.9286771087367,34.5949491490934,1.40750708052993,-0.0687396030040626,1.08808247526205,-0.0748550958058061
"dryala-tm18_00108","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0279053221805976,0.0263136442012553,1.09688326043386,2.02361262203737,0.265284748479107,0.203308179062268,0.523212383265024,2.14925762817837,0.246395029509573,1.17720257034409,1.89342694310693,18.5880727303955,1.73677159341036,2.41639372785259,2.28816667614529,2.87545466255928,0.652496375680742,1.12455133158614,0.574806106066059,2.00774209685223,0.114679929122174,1.02613159120508,0.427930342588406,8.77887836828525,0.0325476697392472,-1.04254680435463,0.648761621696993,2.16039738814078,0.579994441383462,3.7618417398756,5.33984718344511,0.966714642649775,0.995606176085008,0.999427297126283,2.26522814357669,3.37890129433964,-4.81744348621065,3.4084004230424,2.83764497190604,0.561214587905752,0.557232802059301,0.504974817994607,0.645023431330805,0.793322495215034,1.99874624010044,0.474729780072915,0.99302506228619,-0.390697373953486,0.782306534476643,285.740911827823,1.71124070207995,2.80756403871065,1.31825041780196,1.3297094623638,0.769764909391689,0.387384668251844,-0.341676323656119,0.00578753693141376,0.782878254442244,0.396910062567606,5.0255263617426,0.0188406012734887,0.0356733020755582,-0.00865016023492081,0.765802252232161,-0.0221770234583906,5.92756570757867,0.777869840290946,706.596333336247,715.22115154947,0.78015063439551,1.00351196459118,1.00085533639895,7.68677313573591,2.83764497190604,4.92364038950688,3.4084004230424,2.8000363731973,0.358983776977483,1.87442264742796,0.635270201814526,0.700313515229224,0.988491531821778,0.818050793436367,0.754636003683245,0.48751244325077,0.622718079707164,0.600607157251018,1.51320718191345,12.6084146919432,49.6749213077698,1.33198432915079,-0.059749432689512,0.996575519644222,-0.0639538210635797
"dryala-tm8_00045","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0215737542873902,0.0246240625484627,0.732690472348136,1.90070890353878,0.187884027518791,0.130030216701269,0.430253492607277,2.35519834696195,0.137039322815522,1.18467032983314,2.88643879346593,11.9138990769731,3.59318808111144,5.33333102028002,5.71153321855703,6.9465186083357,0.816687734675534,0.939912383826055,0.657970970130941,2.52812803357748,0.176650065272482,1.48672878815819,0.408727960492653,20.3153840110726,0.105610472725161,-0.913425438280941,0.66938876811631,2.21461866626359,0.687182938398111,5.3935131599226,1.80374973255833,0.985669870040974,0.998774598391583,0.999895841781452,2.32988146690549,5.55703264120241,-6.49821355995503,4.95733041398712,3.77516569532117,0.683309845943957,0.634810695396353,0.372786132073009,0.451126631362126,0.955050593873729,2.00522185276577,0.556800856045127,0.998445189779381,-0.478293040066097,0.823742654031469,1285.33062317004,2.35411710496177,3.5126440952775,1.79137119609708,1.09531312091409,0.843400210400649,0.482255850815902,-0.351067526319376,-0.0400520744324931,0.826344769200219,0.47628176032315,7.65055009988337,0.026322814812894,0.0759791938291567,-0.0107446600670489,0.845544563449463,-0.00941208939873935,9.58084146016281,0.759545603449258,712.004350453113,718.154421844757,0.785644133688201,1.00077861570997,0.916287459403353,11.7714092408224,3.77516569532117,7.19483099429996,4.95733041398712,3.22541643168525,0.316666027587931,2.25766645942836,0.639008350419592,0.67005802626959,1.08344634821481,0.693257484850013,0.654689886899118,0.289433671673799,0.350257764630044,0.394617107028973,0.828537096951249,7.3672505681697,40.6633337187335,1.45551387224111,-0.0867168544332751,1.11698265728177,-0.094917283659086
"dryoct-tm35_00210","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.0244743507209502,0.0234242326312724,0.873153434247652,1.84138507529854,0.23100114646778,0.164251958881342,0.493042252093469,2.22417766940637,0.16779878744703,1.20276393536932,2.22072427131685,14.4166407104778,3.20298333602185,4.77390861206994,4.73257269126655,5.90029919757702,0.668782081538135,1.11144001816918,0.60047203458722,2.16300828822704,0.148539613953279,1.3573866211683,0.45374757150478,14.0300072523298,0.0518565426431289,-0.904236840807923,0.615327563779563,2.0502786578824,0.682931325061503,5.30778174598278,2.48425214629639,0.976989735891195,0.997491807931065,0.999729102158385,2.15178418984048,4.38859335465521,-5.43562973587034,4.26133601453164,3.1380505833102,0.637742691895701,0.580537041208934,0.417426474470725,0.524613410225604,0.761331219088851,1.81820937050287,0.500008408822176,1.00177818747388,-0.459341768578089,0.790292362646984,-1125.74079891698,1.89855796481254,3.00006727170876,1.42422839015877,1.12549934945114,0.805242519135835,0.418247390829688,-0.321013460865349,-0.039916261823699,0.795683957623606,0.418725825221265,6.74044191572684,-0.0102325603755787,-0.0227236951837626,0.00458300484614375,0.806222014817546,-0.00781676981402151,7.32567662401035,0.746847969570049,707.014633330296,716.510871369451,0.766825636734097,0.999112484432124,0.928859558412996,9.26918191345322,3.1380505833102,5.79242964081479,4.26133601453164,2.98952228186211,0.336435934062468,1.97616068651688,0.66106574695141,0.650424813260187,1.08315162571032,0.711079251286289,0.66774272052828,0.347189491828139,0.436340947309101,0.464745295825623,1.10990358805798,8.35620445890078,41.9927036740688,1.36289264852925,-0.0665027769015578,0.998930250533884,-0.0715934025606228
"dryala-tm2_00007","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.018102487737611,0.0193525606024718,0.615653912742889,1.59444806463229,0.209308383133315,0.151886159904802,0.469158341193233,2.24644971815574,0.126647898296901,1.18850750510088,2.50868363926083,10.2494137762729,3.93923120796922,5.42990698908966,7.48102796642466,8.30304455608857,0.707901367193908,1.01420997228574,0.603620759717584,2.19333352367998,0.1050078934647,1.71378811907096,0.403696056818894,18.9217077912769,0.0559735551563541,-0.688486530046199,0.638446598146988,2.27752475523962,0.668919961816104,5.040835355012,1.58710867104661,0.980161294662498,0.997996387013097,0.999799270166287,2.37978062223824,6.40523100807634,-5.81783663264511,4.24766162791459,3.44574153384887,0.628710002510069,0.594792032394389,0.303409112577606,0.397429488089367,0.661768334947201,1.54290193109062,0.54090534416113,1.02942184468142,-0.482552627726029,0.731267003982249,-68.9767030808651,2.10806926173043,3.35640008996739,1.57011533869437,0.844456569780579,0.818027093822407,0.449450695002539,-0.36560974214543,-0.108711698270541,0.763428788427951,0.428911469751952,6.60031306404138,0.0197134022473844,0.0494546896921809,-0.00994874951544603,0.804044606835057,-0.0171431248043145,8.01222444800792,0.647779529094573,709.789743868931,716.452405421551,0.683878846384524,0.985709529658115,0.675137040827268,9.99064713539356,3.44574153384887,6.47247090804778,4.24766162791459,3.05890414271567,0.331644159785317,2.09324009046802,0.752527858607745,0.667157982533664,1.24394283658743,0.525298077012496,0.497134917081368,0.261155382822786,0.342082178169566,0.351148701423078,0.818697391389778,6.61137958600284,32.2394941651909,1.39458651551827,-0.067080589292608,1.08551916422522,-0.0728436823019449
"dryoct-tm23_00133","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.0199872187710915,0.024571884524279,0.650898525658935,1.59560799544966,0.214181659791547,0.169390795521772,0.431901971579589,1.81168319623113,0.165700508205796,1.14255034150033,2.62185839633617,13.7618961713262,2.26470429249944,3.29822064683215,3.86255121170482,4.62242959389149,0.918936773554865,0.866541511252455,0.676227665990004,2.48472225493579,0.216825924119513,1.79256865563753,0.516688169437938,16.3432618735214,0.129559620484571,-1.00089553591557,0.696639943110205,1.83238212062696,0.714791384492657,6.0124108854226,3.16994907995256,0.971480278149219,0.996526204185117,0.999581548799712,1.88982548042324,5.00146815372942,-5.79699965562012,4.23293034913178,3.50802331138634,0.638819978478181,0.658351362598472,0.251015926521279,0.323973915059393,0.945747422465294,2.02657726353008,0.581279522036769,1.00346041356408,-0.430428879476242,0.767441052830025,-578.965599476277,2.25685867178609,3.7764561449885,1.97975234494196,1.08432159837887,0.785275469444689,0.469744186281802,-0.276274542317415,-0.0261428463558811,0.774802892619491,0.466672275212395,5.89531063622374,0.00651174818460527,0.0170728816526341,-0.00382985217555801,0.77787919097911,-0.0144895096155959,6.93970656994171,0.728026313476491,714.138732045341,718.933324766882,0.747204413659991,0.998275759802128,0.911398781921891,8.31425950648343,3.50802331138634,5.82277725825292,4.23293034913178,2.33543889972393,0.431235905285704,2.24256901536564,0.743584954804635,0.727133830325517,1.05368928339861,0.689213827768539,0.650930085671431,0.295007909982977,0.380752205229385,0.45414457158029,0.973155243417012,7.00730062712313,40.1507559478354,1.46668451786897,-0.0933026732380529,1.16690684974102,-0.102064417064534
"dryala-tm5_00029","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0229194145174451,0.0279704417007509,0.784354429098806,1.88727818567106,0.170797664674461,0.118908508821609,0.407674639288882,2.49420631755337,0.141328596326698,1.1986720931263,3.2014223567841,12.2522470142212,4.26284830420365,5.8282984780392,5.87372878845432,7.08278313156528,0.891595220738814,0.875475711491554,0.666851931978642,2.62645274755405,0.173384789314669,1.31124570830523,0.370719425479031,20.5385140162132,0.136864880128757,-1.01367352373041,0.673173098799068,2.42551106941196,0.709605618270491,5.8871855856458,1.77992132346408,0.989125181004069,0.999191845576433,0.999940222622429,2.56470263221832,5.51025867767234,-7.00032068121628,5.24756936136418,4.08658202548602,0.695860191831365,0.649123088275626,0.421395034299781,0.493816265887214,1.16031592915937,2.29201699266459,0.57697482020298,1.00296826325658,-0.491253098246475,0.855151263266963,-674.794682989498,2.56360633720436,3.72785095430881,1.92613502469849,1.19860916036559,0.86230128015817,0.507377499683489,-0.388971680506615,-0.061599387017216,0.853343770567546,0.506242289159666,8.71872062110569,0.0152418898030254,0.048795726775045,-0.0054627888184394,0.862375891267906,-0.00915206479840421,10.5778631071056,0.802731491841385,713.924321175365,718.353339393749,0.823531122762179,0.998520260627716,1.00585563344742,13.5244632796683,4.08658202548602,8.09656693789742,5.24756936136418,3.47579460313791,0.293936837878697,2.38588871360284,0.637646456136513,0.624039615829221,1.13128590532655,0.759107748651907,0.719992979875925,0.304067600287858,0.35632486083027,0.395660464417718,0.781563438871321,8.06534005365081,44.9297975441623,1.49955443128092,-0.0940744663460225,1.16364824688245,-0.103796644130905
"dryala-tm14_00083","dryala","Dryas alleghenies","Dwarf_Shrub_Broad",119,272,"12_Mile_dried_dryas",0.0257459276831837,0.0228213506240383,1.16781816862375,2.72293916422447,0.274610693840327,0.201674078074915,0.538089704402572,2.55330215928,0.212585533237366,1.19518879716959,1.78309063100474,16.815258557381,2.42620662414386,3.54979634074649,3.43187756276046,4.31525380605118,0.619181965239922,1.18760698269181,0.557961838722763,1.98212037202319,0.124083112044084,1.00123181885639,0.390950779671284,10.0242728408753,-0.00288779154011634,-0.904595890777763,0.684678577780551,2.29019114774092,0.567067985303152,3.61966297733944,2.64235489197229,0.973617190544017,0.996913640822463,0.99964267069155,2.47064758411211,3.58039923679163,-4.72353629945497,3.57888319087977,2.72403502052151,0.581290774674252,0.53452229925206,0.609221129225169,0.764112058582092,0.660275582258228,1.75296942637997,0.430194564256347,0.953823837746416,-0.429846561261931,0.794007067736156,42.3123911211299,1.62179972981551,2.50997002580328,1.18370429549836,1.23693064561796,0.792726791704641,0.37153630039519,-0.358336633093223,0.0870831796010023,0.79729291323534,0.376661208302846,5.64538946978717,-0.00655990816204795,-0.0116969107839992,0.0025703329213608,0.81648589855221,-0.0116537304004355,6.02841898368115,0.763925422047281,704.906033341276,714.281103571401,0.778153467806319,1.02420581265964,0.941625865458204,8.64910041412613,2.72403502052151,4.86381562085683,3.57888319087977,3.34085339209939,0.30009921668673,1.81899143783157,0.466122684774771,0.659727899780617,0.839785618552271,0.773131351729046,0.699534684980609,0.453365717121924,0.568631314283491,0.518725400208273,1.37716703704514,12.2262915319713,45.792455480627,1.31240260873248,-0.0574712451154238,0.958204919967471,-0.061255500286537
"dryoct-tm34_00203","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.017762808740301,0.0176009926765801,0.67923535673934,1.92313426794545,0.298326312912061,0.216340017863659,0.531885553112091,1.76228791359377,0.156725938600867,1.12372269772813,1.7049536637703,14.1544833496955,2.10228806228875,3.98518891436414,4.58465522466999,5.73501100827104,0.690129413688066,1.07540013173373,0.621541436748578,2.08569499910038,0.161374155136504,2.17063411568114,0.650554283961087,14.3320990182025,0.0345233027406908,-0.772219293336041,0.684880862937125,1.44562846063156,0.676581614012127,5.18394032822548,4.05765050388565,0.942854003756833,0.98996163078498,0.998271196187465,1.49976556684984,4.4976639027269,-4.49232989402872,3.74110665740071,2.63710831499333,0.60265367963241,0.585087648879241,0.234560001820238,0.340849792413178,0.500814336481365,1.3864601841001,0.466354019321153,0.930426355815458,-0.42876274123584,0.661946966185181,27.7465177861757,1.61107956467716,2.74780298627156,1.42367130262684,0.849342120342479,0.707207970212239,0.369584936756192,-0.163527579738497,0.0837587082820682,0.688162372520693,0.361217972376483,5.05125905303349,-0.00472260940985952,-0.00805183021589608,0.0034933675935782,0.747179838561763,0.0143564030908019,5.20993272633887,0.619030815499066,707.722968231174,716.527618690955,0.6446728738546,1.03738804460433,0.736483266064779,5.83078703149726,2.63710831499333,4.0742957333388,3.74110665740071,2.18386341112774,0.462821857212063,1.83294715346222,0.6045195055337,0.752172045464102,0.845429231355678,0.548742607836389,0.509858242835203,0.275612777324815,0.400505445125202,0.389340434398004,1.07785454814582,5.73062738917487,31.2678128593633,1.32267458765618,-0.0608219997308537,1.028711599759,-0.0649123470357874
"dryoct-tm27_00160","dryoct","Dryas octopetala","Dwarf_Shrub_Broad",124,272,"12_Mile_dried_dryas",0.0226737323181611,0.0214504065057219,0.840640514665894,1.92534261302794,0.246676221967461,0.177585979346223,0.507984000023231,2.19124423864851,0.167853086670516,1.1874818740639,2.05913634166822,14.0477999944031,2.93656241641642,4.4226590598656,4.77054979577394,5.79916579084662,0.649321565857858,1.1270086930391,0.590212267637773,2.09557338332842,0.133920952215385,1.42322960148965,0.458482255027103,13.5183879652679,0.0362608337359122,-0.835962460086613,0.627072944533897,2.01800841997759,0.644865883261797,4.63167520588949,2.45673551213612,0.972644554638276,0.996739277887452,0.999615464543729,2.1200990820757,4.47149412735941,-5.15014284568542,3.98202096984296,2.98872213058336,0.615978150965791,0.569183642157333,0.39336266905327,0.508321713425769,0.667350281274817,1.66698981348159,0.484647465579253,0.990488070858436,-0.452195560669804,0.762929811159181,209.262289619115,1.8041595998789,2.88083858411211,1.36847403479118,1.04791998486226,0.789293010842148,0.403070411528926,-0.313018997186786,-0.0146088965892073,0.773845890631453,0.400332549052008,6.13540037062542,-0.00275339847837963,-0.00566962286992548,0.00133356224608415,0.796979260179455,-0.00689172705193125,6.70127698162775,0.711035215466634,706.522070231051,715.947292287061,0.735555220920457,1.00480163740555,0.848830072383029,8.49185410504675,2.98872213058336,5.36134154584072,3.98202096984296,2.90378639161589,0.347075703048606,1.92325412478267,0.633140972032214,0.669832264567434,1.02965096100146,0.65871440914141,0.613839424712965,0.342673730577076,0.442819086753122,0.446180561573511,1.11452481850419,8.40615363944679,39.1161637855594,1.34406157058625,-0.062910278962369,0.998432997693929,-0.0675041857539129
